node_id,timestamp,x,y
1,2020-06-26 11:13:23.645,1485,-111
1,2020-06-26 11:13:33.645,1475,-114
1,2020-06-26 11:13:42.645,1473,-112
1,2020-06-26 11:13:51.645,1468,-108
1,2020-06-26 11:14:01.645,1481,-125
1,2020-06-26 11:14:11.645,1488,-99
1,2020-06-26 11:14:20.645,1480,-117
1,2020-06-26 11:14:30.645,1471,-125
1,2020-06-26 11:14:40.645,1474,-128
1,2020-06-26 11:14:50.645,1488,-109
1,2020-06-26 11:14:59.645,1554,-38
1,2020-06-26 11:15:09.645,1506,-101
1,2020-06-26 11:15:28.645,1469,-109
1,2020-06-26 11:15:37.645,1481,-95
1,2020-06-26 11:15:47.645,1482,-117
1,2020-06-26 11:15:56.645,1474,-117
1,2020-06-26 11:16:06.645,1475,-110
1,2020-06-26 11:16:35.645,1474,-112
1,2020-06-26 11:16:54.645,1475,-107
1,2020-06-26 11:17:04.645,1486,-117
1,2020-06-26 11:17:14.645,1478,-102
1,2020-06-26 11:17:24.645,1467,-110
1,2020-06-26 11:17:33.645,1490,-105
1,2020-06-26 11:17:43.645,1482,-109
1,2020-06-26 11:17:53.645,1474,-117
1,2020-06-26 11:18:03.645,1481,-101
1,2020-06-26 11:18:12.645,1479,-99
1,2020-06-26 11:18:22.645,1486,-121
1,2020-06-26 11:18:32.645,1486,-115
1,2020-06-26 11:18:42.645,1474,-129
1,2020-06-26 11:18:51.645,1479,-108
1,2020-06-26 11:19:01.645,1468,-118
1,2020-06-26 11:19:11.645,1474,-117
1,2020-06-26 11:19:20.645,1480,-102
1,2020-06-26 11:19:30.645,1456,-97
1,2020-06-26 11:20:09.645,1480,-105
1,2020-06-26 11:20:18.645,1473,-113
1,2020-06-26 11:20:27.645,1475,-120
1,2020-06-26 11:20:37.645,1487,-107
1,2020-06-26 11:20:46.645,1477,-125
1,2020-06-26 11:21:06.645,1484,-96
1,2020-06-26 11:21:16.645,1471,-105
1,2020-06-26 11:21:25.645,1486,-121
1,2020-06-26 11:21:35.645,1486,-103
1,2020-06-26 11:21:45.645,1471,-112
1,2020-06-26 11:21:54.645,1444,-104
1,2020-06-26 11:22:13.645,1468,-115
1,2020-06-26 11:22:23.645,1478,-105
1,2020-06-26 11:22:32.645,1475,-107
1,2020-06-26 11:22:51.645,1479,-104
1,2020-06-26 11:23:01.645,1478,-122
1,2020-06-26 11:23:11.645,1461,-108
1,2020-06-26 11:23:20.645,1480,-112
1,2020-06-26 11:23:30.645,1480,-126
1,2020-06-26 11:23:39.645,1475,-110
1,2020-06-26 11:23:49.645,1484,-106
1,2020-06-26 11:23:59.645,1477,-121
1,2020-06-26 11:24:08.645,1484,-108
1,2020-06-26 11:24:18.645,1470,-112
1,2020-06-26 11:24:37.645,1482,-119
1,2020-06-26 11:24:47.645,1475,-107
1,2020-06-26 11:24:57.645,1483,-113
1,2020-06-26 11:25:06.645,1479,-105
1,2020-06-26 11:25:16.645,1469,-107
1,2020-06-26 11:25:25.645,1473,-126
1,2020-06-26 11:25:35.645,1474,-127
1,2020-06-26 11:25:44.645,1488,-130
1,2020-06-26 11:25:54.645,1482,-112
1,2020-06-26 11:26:03.645,1487,-118
1,2020-06-26 11:26:13.645,1480,-107
1,2020-06-26 11:26:32.645,1478,-119
1,2020-06-26 11:26:51.645,1474,-100
1,2020-06-26 11:27:01.645,1479,-118
1,2020-06-26 11:27:11.645,1476,-100
1,2020-06-26 11:27:20.645,1486,-117
1,2020-06-26 11:27:30.645,1485,-119
1,2020-06-26 11:27:40.645,1474,-105
1,2020-06-26 11:27:49.645,1497,-98
1,2020-06-26 11:27:59.645,1475,-114
1,2020-06-26 11:28:18.645,1489,-130
1,2020-06-26 11:28:28.645,1476,-107
1,2020-06-26 11:28:38.645,1490,-111
1,2020-06-26 11:28:47.645,1481,-111
1,2020-06-26 11:28:57.645,1469,-115
1,2020-06-26 11:29:06.645,1492,-95
1,2020-06-26 11:29:16.645,1481,-108
1,2020-06-26 11:29:25.645,1481,-105
1,2020-06-26 11:29:35.645,1483,-104
1,2020-06-26 11:29:45.645,1491,-108
1,2020-06-26 11:29:54.645,1482,-116
1,2020-06-26 11:30:04.645,1473,-97
1,2020-06-26 11:30:13.645,1492,-103
1,2020-06-26 11:30:23.645,1483,-114
1,2020-06-26 11:30:33.645,1477,-106
1,2020-06-26 11:30:52.645,1485,-110
1,2020-06-26 11:31:02.645,1473,-119
1,2020-06-26 11:31:12.645,1470,-120
1,2020-06-26 11:31:21.645,1492,-109
1,2020-06-26 11:31:31.645,1475,-106
1,2020-06-26 11:31:40.645,1482,-132
1,2020-06-26 11:31:50.654,1481,-121
1,2020-06-26 11:32:10.645,1468,-113
1,2020-06-26 11:32:19.645,1472,-114
1,2020-06-26 11:32:29.645,1472,-102
1,2020-06-26 11:32:39.645,1466,-132
1,2020-06-26 11:32:48.645,1478,-112
1,2020-06-26 11:33:07.645,1492,-104
1,2020-06-26 11:33:17.645,1468,-105
1,2020-06-26 11:33:26.645,1465,-101
1,2020-06-26 11:33:36.645,1480,-103
1,2020-06-26 11:33:46.645,1481,-104
1,2020-06-26 11:33:55.646,1496,-108
1,2020-06-26 11:34:05.645,1484,-87
1,2020-06-26 11:34:15.645,1475,-114
1,2020-06-26 11:34:24.645,1467,-114
1,2020-06-26 11:34:33.645,1471,-124
1,2020-06-26 11:34:43.645,1474,-108
1,2020-06-26 11:34:52.645,1481,-117
1,2020-06-26 11:35:02.645,1488,-103
1,2020-06-26 11:35:12.645,1483,-105
1,2020-06-26 11:35:21.645,1481,-121
1,2020-06-26 11:35:31.645,1450,-84
1,2020-06-26 11:35:41.645,1470,-98
1,2020-06-26 11:35:50.645,1475,-111
1,2020-06-26 11:36:00.645,1492,-107
1,2020-06-26 11:36:09.645,1476,-134
1,2020-06-26 11:36:19.645,1483,-109
1,2020-06-26 11:36:29.645,1490,-112
1,2020-06-26 11:36:39.645,1493,-133
1,2020-06-26 11:36:48.645,1478,-112
1,2020-06-26 11:36:58.645,1478,-122
1,2020-06-26 11:37:07.645,1481,-110
1,2020-06-26 11:37:17.645,1479,-114
1,2020-06-26 11:37:27.645,1478,-110
1,2020-06-26 11:37:37.645,1472,-119
1,2020-06-26 11:37:46.645,1484,-104
1,2020-06-26 11:37:56.645,1475,-107
1,2020-06-26 11:38:06.645,1475,-104
1,2020-06-26 11:38:15.645,1476,-125
1,2020-06-26 11:38:25.645,1483,-105
1,2020-06-26 11:38:34.645,1483,-113
1,2020-06-26 11:38:44.645,1477,-102
1,2020-06-26 11:38:53.645,1489,-115
1,2020-06-26 11:39:03.645,1476,-107
1,2020-06-26 11:39:12.645,1491,-101
1,2020-06-26 11:39:22.645,1474,-125
1,2020-06-26 11:39:41.645,1483,-114
1,2020-06-26 11:39:51.645,1470,-128
1,2020-06-26 11:40:00.645,1482,-104
1,2020-06-26 11:40:10.645,1479,-103
